#merge strategy: sequential
#number of distributed sources: 5
#batch size: 50
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.5
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: green_squares
#order of time: backdoors first
#attack model: basic
#starttime: 122837
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;0.15212033689022064;2.8453391750355808;0.0
normal;1;0.01;2.179856300354004;1.8585589590451137;37.35775742436858
backdoor;2;0.01;0.1948634684085846;4.6896602626380215;0.0
normal;2;0.01;1.6006697416305542;0.7838497062606875;78.65667499306134
backdoor;3;0.01;0.06216222420334816;7.627520429138472;3.635859006383569
normal;3;0.01;0.849317193031311;0.34804822481773706;89.86955315015265
backdoor;4;0.01;0.0669037401676178;9.030549858531586;4.190951984457397
normal;4;0.01;0.5089933276176453;0.20343618729425003;95.00416319733556
backdoor;5;0.01;0.07069163769483566;9.431011495873427;4.579517069109076
normal;5;0.01;0.3400411605834961;0.14672023823312627;96.22536774909797
backdoor;6;0.01;0.07173444330692291;9.522642435248018;4.940327504857064
normal;6;0.01;0.26315605640411377;0.12166562339788173;96.72495142936442
backdoor;7;0.01;0.07131144404411316;10.293009999127246;4.968082153760755
normal;7;0.01;0.2171308994293213;0.1044467384309841;97.16902581182347
backdoor;8;0.01;0.07682429999113083;10.118978542716444;5.328892589508743
normal;8;0.01;0.1880209892988205;0.09539008139740043;97.22453510963086
backdoor;9;0.01;0.07511930912733078;10.06370332735365;5.689703025256731
normal;9;0.01;0.16499844193458557;0.08510029069318766;97.80738273660839
backdoor;10;0.01;0.0760621726512909;9.658651667967327;6.189286705523175
normal;10;0.01;0.14744244515895844;0.0792594429789957;97.97391063003053
backdoor;11;0.01;0.06785992532968521;9.111611069026273;7.29947266167083
normal;11;0.01;0.13194818794727325;0.07602891497966134;97.97391063003053
backdoor;12;0.01;0.05853058770298958;8.177004516108182;9.74188176519567
normal;12;0.01;0.11782412976026535;0.07442990918753467;98.14043852345267
backdoor;13;0.01;0.04999646544456482;7.449396924313459;12.683874548986955
normal;13;0.01;0.10561909526586533;0.07125693144230016;98.25145711906744
backdoor;14;0.01;0.04283321648836136;6.291925585934959;16.62503469331113
normal;14;0.01;0.09853360056877136;0.07125365027154326;98.4179850124896
backdoor;15;0.01;0.03474512696266174;5.745935851919495;21.09353316680544
normal;15;0.01;0.08838088810443878;0.0669431623749011;98.52900360810436
backdoor;16;0.01;0.0313858725130558;5.179839698003789;26.00610602275881
normal;16;0.01;0.08372864127159119;0.06537862314087808;98.6955315015265
backdoor;17;0.01;0.029220156371593475;4.426021809383395;32.056619483763534
normal;17;0.01;0.07597991079092026;0.062180762079559894;98.77879544823757
backdoor;18;0.01;0.027478057891130447;3.610942806563641;40.049958368026644
normal;18;0.01;0.07251880317926407;0.06265560311000265;98.64002220371913
backdoor;19;0.01;0.02249879390001297;2.8786800402652677;50.98529003608105
normal;19;0.01;0.06279391050338745;0.06096548136084705;98.77879544823757
backdoor;20;0.01;0.020597262308001518;2.7340046669124662;53.89952817096864
normal;20;0.01;0.060792867094278336;0.05744926886453278;98.83430474604496
backdoor;21;0.01;0.01975976675748825;2.039461039819388;61.83735775742437
normal;21;0.01;0.054675422608852386;0.05738938966420991;98.77879544823757
backdoor;22;0.01;0.017855653539299965;1.726900982242176;67.13849569802942
normal;22;0.01;0.05194777622818947;0.05770783508841242;98.77879544823757
backdoor;23;0.01;0.01583259552717209;1.4524299932719766;71.60699417152372
normal;23;0.01;0.04582887515425682;0.057242703961753995;98.7232861504302
backdoor;24;0.01;0.01567475125193596;1.1221034892208155;77.18567860116569
normal;24;0.01;0.045240093022584915;0.055884012017073416;98.80655009714127
backdoor;25;0.01;0.012350390665233135;0.9853218246910224;79.87787954482376
normal;25;0.01;0.040981825441122055;0.05423377922022846;98.80655009714127
backdoor;26;0.01;0.012374750338494778;0.7092826024823783;85.06799888981405
normal;26;0.01;0.03942977637052536;0.05419663226042684;98.77879544823757
backdoor;27;0.01;0.010926039889454842;0.7339433858040667;84.95698029419928
normal;27;0.01;0.038233816623687744;0.05326157713051163;98.80655009714127
backdoor;28;0.01;0.011917688883841038;0.4716508864572572;88.89814043852346
normal;28;0.01;0.0356905423104763;0.05218533489768607;98.80655009714127
backdoor;29;0.01;0.010274636559188366;0.4170528404427186;90.86872051068553
normal;29;0.01;0.03337701037526131;0.0529894265394165;98.86205939494866
backdoor;30;0.01;0.011307090520858765;0.26933184819039546;93.64418540105467
normal;30;0.01;0.03157834708690643;0.05077811195745206;98.94532334165973
backdoor;31;0.01;0.00927521288394928;0.25527921870576653;94.11601443241743
normal;31;0.01;0.030143234878778458;0.05324094888719587;98.80655009714127
backdoor;32;0.01;0.010341058485209942;0.14379835593870285;96.33638634471274
normal;32;0.01;0.026968270540237427;0.05197957433662903;98.88981404385234
backdoor;33;0.01;0.010405229404568672;0.1248672016468622;97.16902581182347
normal;33;0.01;0.025077970698475838;0.05104101055335647;98.86205939494866
backdoor;34;0.01;0.007972517050802708;0.0869686099111791;97.89064668331946
normal;34;0.01;0.0244813933968544;0.05103446991662846;98.94532334165973
backdoor;35;0.01;0.008903972804546356;0.14686883626789685;96.7804607271718
normal;35;0.01;0.025303533300757408;0.04962247226671076;98.94532334165973
backdoor;36;0.01;0.009908880107104778;0.13074671224528123;97.22453510963086
normal;36;0.01;0.02219691127538681;0.05016997126211211;98.91756869275603
backdoor;37;0.01;0.00863947905600071;0.08465509949734128;98.00166527893423
