#dataset: gtsrb
#way backdoor looks like: backdoor_green_0_5_percent
#merge strategy: sequential
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 512
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 100
#order of time backdoors being inserted: backdoors first
#attack model: basic
#starttime: 093808
1;2;3;4;5;6;7;8;9;10
backdoor;1;0.0001;3.4293313026428223;in_between;2.6379415601185174;100.0;3.0097490880004205;100.0;093834
normal;1;0.0001;in_between;3.802795168528553;0.4750593824228028;3.747231960296631;3.6947594045365695;0.4750593824228028;094113
backdoor;2;0.0001;0.6120905876159668;in_between;0.01123715071855607;100.0;3.1796769070417654;49.469517022961206;094235
normal;2;0.0001;in_between;11.954531369847338;0.4750593824228028;3.775691032409668;3.5952059131903207;2.83452098178939;094516
backdoor;3;0.0001;0.7733607888221741;in_between;0.008537977419480952;100.0;3.400942154715954;0.0;094637
normal;3;0.0001;in_between;11.05301535901623;0.4750593824228028;3.6814982891082764;3.532108831820937;6.4687252573238325;094917
backdoor;4;0.0001;0.7249485850334167;in_between;0.008087908022949267;100.0;3.4306907575279593;0.0;095039
normal;4;0.0001;in_between;10.650418305868962;0.4750593824228028;3.645541191101074;3.5106820705289983;7.450514647664291;095319
backdoor;5;0.0001;0.7668992877006531;in_between;0.009255892968045656;100.0;3.3520269374288647;0.0;095441
normal;5;0.0001;in_between;10.454870073887816;0.4750593824228028;3.629885196685791;3.5011331469127325;7.418844022169438;095721
backdoor;6;0.0001;0.8106555938720703;in_between;0.008307199278051477;100.0;3.2817295149971546;0.0;095842
normal;6;0.0001;in_between;9.960492885707394;0.4750593824228028;3.613546371459961;3.49168714703026;8.677751385589865;100122
backdoor;7;0.0001;0.8364824056625366;in_between;0.00889145093405898;100.0;3.2182414703489957;0.0;100244
normal;7;0.0001;in_between;9.73920488636926;0.4750593824228028;3.602236270904541;3.4802444615065817;9.477434679334916;100530
backdoor;8;0.0001;0.8498508334159851;in_between;0.008796968898033209;100.0;3.1746605324159987;0.0;100702
normal;8;0.0001;in_between;9.483294711562253;0.4750593824228028;3.5872209072113037;3.464583487975059;10.356294536817103;100954
backdoor;9;0.0001;0.8571969270706177;in_between;0.009397007809304473;100.0;3.1625981105100704;0.0;101125
normal;9;0.0001;in_between;9.334603753773258;0.4750593824228028;3.5590155124664307;3.436404604998639;13.760886777513855;101417
backdoor;10;0.0001;0.8182942867279053;in_between;0.009491349908914815;100.0;3.18968824807935;0.00791765637371338;101542
normal;10;0.0001;in_between;9.267593666493468;0.4750593824228028;3.5152671337127686;3.386566002635095;14.655581947743467;101825
backdoor;11;0.0001;0.7567299008369446;in_between;0.008747689778712282;100.0;3.2858642771427156;0.0;101949
normal;11;0.0001;in_between;9.427949578292013;0.4750593824228028;3.437591075897217;3.269755654474713;20.031670625494854;102230
backdoor;12;0.0001;0.6751865148544312;in_between;0.007306317611054022;100.0;3.564447035982037;0.0;102351
normal;12;0.0001;in_between;9.762971985878117;0.4750593824228028;3.2355663776397705;2.892237028845321;30.150435471100554;102631
backdoor;13;0.0001;0.5430681109428406;in_between;0.00567639140221965;100.0;4.718800654830389;0.0;102757
normal;13;0.0001;in_between;10.422236146420971;0.4750593824228028;2.681839942932129;2.116290848611936;45.76405384006334;103043
backdoor;14;0.0001;0.5316028594970703;in_between;0.004556358039898242;100.0;6.3504972891305425;0.0;103214
normal;14;0.0001;in_between;10.461038597028404;0.4750593824228028;1.9235502481460571;1.4666320438339704;59.55661124307205;103458
backdoor;15;0.0001;0.6057494878768921;in_between;0.004118949311740419;100.0;7.857434497630889;0.0;103626
normal;15;0.0001;in_between;11.303149317411421;0.4750593824228028;1.4197453260421753;1.1087434214443228;70.09501187648456;103918
backdoor;16;0.0001;0.7001741528511047;in_between;0.0024334745943215947;100.0;8.29057476076925;0.0;104048
normal;16;0.0001;in_between;11.759018048235847;0.4750593824228028;1.1836233139038086;0.9268212518518346;75.6848772763262;104349
backdoor;17;0.0001;0.6707631349563599;in_between;0.008047996007159695;99.98416468725257;9.512401957145684;0.0;104519
normal;17;0.0001;in_between;15.634216182947348;0.4908946951702296;1.139697551727295;0.8192721103357117;79.46159936658749;104813
backdoor;18;0.0001;0.8955965638160706;in_between;0.002674618748002645;100.0;9.107461888546615;0.0;104943
normal;18;0.0001;in_between;11.462980684475207;0.4750593824228028;0.8847258687019348;0.7310825749606437;81.6627078384798;105236
backdoor;19;0.0001;0.7752676606178284;in_between;0.004484466975960388;100.0;9.107103293714124;0.0;105409
normal;19;0.0001;in_between;11.528982643012668;0.4750593824228028;0.7926223874092102;0.6665789691021965;83.36500395882818;105700
backdoor;20;0.0001;0.7472425103187561;in_between;0.003306744222308753;100.0;9.079327822675426;0.00791765637371338;105825
normal;20;0.0001;in_between;10.758090545823435;0.4750593824228028;0.7010281682014465;0.6204489423279147;84.65558194774347;110124
backdoor;21;0.0001;0.7034494280815125;in_between;0.002768219980283663;100.0;9.247274014313637;0.00791765637371338;110253
normal;21;0.0001;in_between;10.96760099264524;0.4750593824228028;0.6637961864471436;0.5779517737816745;85.76405384006334;110543
backdoor;22;0.0001;0.711993932723999;in_between;0.0026611051432971246;100.0;9.176506539025386;0.023752969121140142;110713
normal;22;0.0001;in_between;10.733151281361343;0.4750593824228028;0.6160181760787964;0.5512819119511572;86.40538400633413;111002
backdoor;23;0.0001;0.693451464176178;in_between;0.002572087163691094;100.0;9.209314322452741;0.023752969121140142;111129
normal;23;0.0001;in_between;10.674876363940024;0.4750593824228028;0.5757006406784058;0.5188249713357063;87.2763262074426;111418
backdoor;24;0.0001;0.6979559063911438;in_between;0.002804533078947996;100.0;9.145852102972832;0.047505938242280284;111546
normal;24;0.0001;in_between;10.468600751404146;0.4750593824228028;0.5381296873092651;0.4995402595115293;87.70387965162313;111833
backdoor;25;0.0001;0.687554657459259;in_between;0.0028680413277113333;100.0;8.967659099273803;0.055423594615993665;112001
normal;25;0.0001;in_between;10.111863919920328;0.4750593824228028;0.5043430924415588;0.4809466714624932;88.11559778305622;112247
backdoor;26;0.0001;0.6655779480934143;in_between;0.002871870815234815;100.0;8.941143185093775;0.06334125098970704;112410
normal;26;0.0001;in_between;10.21485177203954;0.4750593824228028;0.48520052433013916;0.4652031186451916;88.66983372921615;112653
backdoor;27;0.0001;0.6631885170936584;in_between;0.0028154595400356436;100.0;8.90144899297308;0.06334125098970704;112820
normal;27;0.0001;in_between;10.009977484164688;0.4750593824228028;0.46020665764808655;0.45039980957079573;89.04988123515439;113109
backdoor;28;0.0001;0.6443220973014832;in_between;0.0029434128262556835;100.0;8.790454758789835;0.06334125098970704;113237
normal;28;0.0001;in_between;10.001986121678296;0.4750593824228028;0.4445292055606842;0.435454560836345;89.42201108471892;113525
backdoor;29;0.0001;0.65158611536026;in_between;0.0031176159142126477;100.0;8.711482070838281;0.11084718923198733;113651
normal;29;0.0001;in_between;9.802158624523704;0.4750593824228028;0.4254278242588043;0.421695965655909;89.87331749802058;113936
backdoor;30;0.0001;0.6252090334892273;in_between;0.0029269432511861986;100.0;8.732762241439033;0.11084718923198733;114101
normal;30;0.0001;in_between;9.873024799893606;0.4750593824228028;0.4122949540615082;0.4153222199573653;90.02375296912113;114343
backdoor;31;0.0001;0.6293618679046631;in_between;0.0029512867178127867;100.0;8.764654120583433;0.09501187648456057;114506
normal;31;0.0001;in_between;9.810520566576356;0.4750593824228028;0.39781075716018677;0.3998024467051454;90.45130641330167;114748
backdoor;32;0.0001;0.6253592371940613;in_between;0.003144036378543337;100.0;8.561489107036817;0.14251781472684086;114911
normal;32;0.0001;in_between;9.687230111527613;0.4750593824228028;0.3885878920555115;0.3917944119076642;90.63341250989707;115152
backdoor;33;0.0001;0.6144465804100037;in_between;0.002929230644319705;100.0;8.662996767214716;0.15043547110055425;115315
normal;33;0.0001;in_between;9.766477481845062;0.4750593824228028;0.3839298188686371;0.3800690923526187;90.92636579572446;115556
backdoor;34;0.0001;0.6185559034347534;in_between;0.003232680212762369;100.0;8.531868895517864;0.17418844022169439;115719
normal;34;0.0001;in_between;9.616629958586946;0.4750593824228028;0.367830753326416;0.3752433483881886;91.17181314330958;115959
backdoor;35;0.0001;0.6204569935798645;in_between;0.0030788298976487426;100.0;8.512709829492033;0.18210609659540775;120122
normal;35;0.0001;in_between;9.642439005437202;0.4750593824228028;0.36222171783447266;0.3639509522716676;91.43309580364212;120401
backdoor;36;0.0001;0.6014960408210754;in_between;0.0031654981753227733;100.0;8.438875770115796;0.25336500395882816;120523
normal;36;0.0001;in_between;9.37744751459818;0.4750593824228028;0.34263017773628235;0.3610347385361189;91.6547901821061;120803
backdoor;37;0.0001;0.6007795333862305;in_between;0.0029712708385237984;100.0;8.48156842664415;0.25336500395882816;120926
normal;37;0.0001;in_between;9.585569124078335;0.4750593824228028;0.348030149936676;0.35075199553066083;91.82106096595408;121205
backdoor;38;0.0001;0.6047908067703247;in_between;0.0033971586967401816;100.0;8.308835068413499;0.2454473475851148;121327
normal;38;0.0001;in_between;9.279564037911966;0.4750593824228028;0.3283851444721222;0.34719690215653687;91.99524940617577;121607
backdoor;39;0.0001;0.5956453084945679;in_between;0.0032330457124083362;100.0;8.4211033184568;0.2929532858273951;121729
normal;39;0.0001;in_between;9.29784541549139;0.4750593824228028;0.3301354944705963;0.3380086386855028;92.14568487727632;122009
backdoor;40;0.0001;0.5981271862983704;in_between;0.0035729202078338285;100.0;8.281928142629157;0.2850356294536817;122131
normal;40;0.0001;in_between;9.052558721329424;0.4750593824228028;0.3085121810436249;0.33127898460140515;92.3673792557403;122410
backdoor;41;0.0001;0.5824869275093079;in_between;0.0034154487241381043;100.0;8.279633607358472;0.3246239113222486;122532
normal;41;0.0001;in_between;9.013265147930275;0.4750593824228028;0.3044901192188263;0.3237412033624717;92.39113222486144;122812
backdoor;42;0.0001;0.5810540318489075;in_between;0.0033828144779492254;100.0;8.23576290949129;0.3087885985748218;122933
normal;42;0.0001;in_between;8.933157099756285;0.4750593824228028;0.29907479882240295;0.32174957665015286;92.56532066508314;123213
backdoor;43;0.0001;0.5807167291641235;in_between;0.0033391268878160537;100.0;8.195138933992725;0.3246239113222486;123335
normal;43;0.0001;in_between;8.954363486923496;0.4750593824228028;0.29882684350013733;0.31448526193674653;92.62866191607284;123614
backdoor;44;0.0001;0.5822545886039734;in_between;0.0036749832043077675;100.0;8.161046522416864;0.2929532858273951;123736
normal;44;0.0001;in_between;8.789981729080067;0.4750593824228028;0.2853860855102539;0.3120160438857754;92.73159144893111;124015
backdoor;45;0.0001;0.5763516426086426;in_between;0.0034862869425794007;100.0;8.161132522546763;0.3246239113222486;124137
normal;45;0.0001;in_between;8.864995028268508;0.4750593824228028;0.28935936093330383;0.3069514669507435;92.92161520190024;124416
backdoor;46;0.0001;0.5799955129623413;in_between;0.0034665775412335248;100.0;8.089276775441657;0.332541567695962;124538
normal;46;0.0001;in_between;8.742875539699623;0.4750593824228028;0.275736927986145;0.30073451618306335;92.96912114014252;124817
backdoor;47;0.0001;0.5652276873588562;in_between;0.0036775579928219177;100.0;8.099952756952693;0.39588281868566905;124939
normal;47;0.0001;in_between;8.621447879552653;0.4750593824228028;0.2709042727947235;0.29756626316411855;93.14330958036422;125218
backdoor;48;0.0001;0.5714604258537292;in_between;0.003495355560396365;100.0;7.9978652869531865;0.40380047505938244;125340
normal;48;0.0001;in_between;8.652357397132324;0.4750593824228028;0.26236167550086975;0.29452167655962946;93.17498020585907;125619
backdoor;49;0.0001;0.5601492524147034;in_between;0.0035303987214608695;100.0;8.011591653831404;0.39588281868566905;125741
normal;49;0.0001;in_between;8.612644995948386;0.4750593824228028;0.2635536789894104;0.2904869043345689;93.36500395882818;130021
backdoor;50;0.0001;0.5644147396087646;in_between;0.003940337400821495;100.0;7.937281645882819;0.43547110055423593;130150
normal;50;0.0001;in_between;8.363314575291964;0.4750593824228028;0.2526856064796448;0.28617956187171967;93.34125098970705;130448
backdoor;51;0.0001;0.5456476211547852;in_between;0.0035572651918219463;100.0;7.951059334483868;0.43547110055423593;130623
normal;51;0.0001;in_between;8.49519835507596;0.4750593824228028;0.25199082493782043;0.28158410767761377;93.39667458432304;130925
backdoor;52;0.0001;0.5552789568901062;in_between;0.003661220562618494;100.0;7.938988445943438;0.4908946951702296;131101
normal;52;0.0001;in_between;8.551895211673594;0.4750593824228028;0.25502485036849976;0.2774616908951591;93.53127474267617;131353
backdoor;53;0.0001;0.5538458228111267;in_between;0.0037276138791184714;100.0;7.943332969925277;0.41963578780680916;131526
normal;53;0.0001;in_between;8.45973674565766;0.4750593824228028;0.2490338832139969;0.2770519141818641;93.53127474267617;131847
backdoor;54;0.0001;0.5485653281211853;in_between;0.003717190909744347;100.0;7.94038573058937;0.4750593824228028;132022
normal;54;0.0001;in_between;8.812273701164143;0.4750593824228028;0.25817838311195374;0.273660469659245;93.70546318289786;132319
backdoor;55;0.0001;0.5498169660568237;in_between;0.003965267763190674;100.0;7.880184035252128;0.4829770387965162;132452
normal;55;0.0001;in_between;8.516032828892023;0.4750593824228028;0.24396592378616333;0.2710415421075889;93.73713380839271;132753
backdoor;56;0.0001;0.5482827425003052;in_between;0.0036936534272236947;100.0;7.90341031398456;0.498812351543943;132925
normal;56;0.0001;in_between;8.711132889820863;0.4750593824228028;0.24791662395000458;0.2681287111597975;93.784639746635;133220
backdoor;57;0.0001;0.5479331612586975;in_between;0.00419615519396011;100.0;7.8220637982172905;0.5146476642913698;133350
normal;57;0.0001;in_between;8.344071964073635;0.4750593824228028;0.23399744927883148;0.26580744476801615;93.784639746635;133646
backdoor;58;0.0001;0.5395714044570923;in_between;0.00378877795695881;100.0;7.829330374263906;0.498812351543943;133808
normal;58;0.0001;in_between;8.57862671574995;0.4750593824228028;0.23698563873767853;0.2625972154304704;93.93507521773554;134050
backdoor;59;0.0001;0.5499878525733948;in_between;0.004171636306569393;100.0;7.74305848086154;0.5542359461599367;134224
normal;59;0.0001;in_between;8.141138777804583;0.4750593824228028;0.2271403968334198;0.2596239586812772;93.95091053048297;134516
