#dataset: gtsrb
#way backdoor looks like: backdoor_green_1_percent
#merge strategy: sequential
#number of benign sources: 9
#number of malicious sources: 1
#batch size: 512
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 100
#order of time backdoors being inserted: backdoors first
#attack model: basic
#starttime: 160728
1;2;3;4;5;6;7;8;9;10
backdoor;1;0.0001;3.634876012802124;in_between;3.4605525000927853;100.0;3.516494560090682;100.0;160744
normal;1;0.0001;in_between;3.769903433974169;0.4750593824228028;3.749892234802246;3.726697038301663;0.4750593824228028;161143
backdoor;2;0.0001;3.1677026748657227;in_between;1.9307627287537732;100.0;3.651082946342414;0.0;161323
normal;2;0.0001;in_between;3.799732498809259;0.4750593824228028;3.632063865661621;3.4966383594987134;5.486935866983373;161743
backdoor;3;0.0001;1.0621317625045776;in_between;0.024784684426616507;100.0;3.992556958413747;0.0;161921
normal;3;0.0001;in_between;9.647204483527563;0.4750593824228028;3.619903564453125;3.4706932665899646;8.028503562945367;162340
backdoor;4;0.0001;1.473419427871704;in_between;0.02940704786673672;100.0;3.8838073392189973;0.0;162517
normal;4;0.0001;in_between;8.523912810675228;0.4750593824228028;3.5723912715911865;3.446604386644522;10.53840063341251;162941
backdoor;5;0.0001;1.5079704523086548;in_between;0.03144141632889531;100.0;3.8187272773313787;0.0;163120
normal;5;0.0001;in_between;8.272545081929186;0.4750593824228028;3.5298240184783936;3.4200591581923;11.73396674584323;163544
backdoor;6;0.0001;1.5891036987304688;in_between;0.036836085693286884;100.0;3.736882370611268;0.0;163724
normal;6;0.0001;in_between;7.914361673749258;0.4750593824228028;3.491281509399414;3.395163898966375;12.676167854315123;164148
backdoor;7;0.0001;1.5850019454956055;in_between;0.03572130195696205;100.0;3.667329963690123;0.0;164328
normal;7;0.0001;in_between;7.7140618234424485;0.4750593824228028;3.4559152126312256;3.3561261513076506;14.433887569279493;164753
backdoor;8;0.0001;1.5315519571304321;in_between;0.033786758428892255;100.0;3.6661755342098425;0.0;164933
normal;8;0.0001;in_between;7.574582950595062;0.4750593824228028;3.3898847103118896;3.2439294230626485;20.878859857482187;165357
backdoor;9;0.0001;1.4370051622390747;in_between;0.03033684181581861;100.0;3.9995919101500643;0.0;165535
normal;9;0.0001;in_between;7.596127964481888;0.4750593824228028;3.1394267082214355;2.7569207149937527;27.529691211401424;165958
backdoor;10;0.0001;1.2109147310256958;in_between;0.017663410855774265;100.0;4.8727674470661375;0.00791765637371338;170136
normal;10;0.0001;in_between;7.633910765538401;0.4750593824228028;2.5971381664276123;2.2114950172502845;36.85669041963579;170600
backdoor;11;0.0001;1.103604793548584;in_between;0.01681195075608206;99.96041171813144;5.620052092998441;0.00791765637371338;170740
normal;11;0.0001;in_between;8.546214003272219;0.6888361045130641;2.1390058994293213;1.8139226084367113;46.429136975455265;171205
backdoor;12;0.0001;1.2125582695007324;in_between;0.012745546369635671;99.80205859065717;6.4095470969108765;0.0;171343
